pre_pt_root_id,post_pt_root_id,size
864691134887026938,864691135102433056,6536.0
864691134887026938,864691135336954857,1344.0
864691134887026938,864691135456535658,2072.0
864691134887026938,864691135464162366,28020.0
864691134887026938,864691135595810859,5516.0
864691134887026938,864691135611019015,1620.0
864691134887026938,864691135750958889,14448.0
864691134887026938,864691135779780797,2524.0
864691134887026938,864691135809954845,7356.0
864691134887026938,864691135858282030,5028.0
864691134887026938,864691136091532855,3240.0
864691134887026938,864691136108462553,2220.0
864691134887026938,864691136138622333,2616.0
864691134887026938,864691136239859772,2944.0
864691134887026938,864691136274488254,14344.0
864691134887026938,864691136390905207,6312.0
864691134887026938,864691136391042167,1480.0
864691134887026938,864691136453384959,19964.0
864691134887026938,864691136906067890,4144.0
864691134887444730,864691135067181124,4908.0
864691134887444730,864691135271915173,9108.0
864691134887444730,864691135389004929,10396.0
864691134887444730,864691135430131760,3220.0
864691134887444730,864691135566825495,38512.0
864691134887444730,864691135566979927,8648.0
864691134887444730,864691135662059248,3552.0
864691134887444730,864691135917058150,16648.0
864691134887444730,864691135969582181,29964.0
864691134887444730,864691136011600302,1724.0
864691134887444986,864691134941063523,5504.0
864691134887444986,864691135102390816,676.0
864691134887444986,864691135164804909,848.0
864691134887444986,864691135210134905,1116.0
864691134887444986,864691135234382937,624.0
864691134887444986,864691135279848865,3548.0
864691134887444986,864691135294442678,440.0
864691134887444986,864691135396940021,260.0
864691134887444986,864691135417307322,1952.0
864691134887444986,864691135455977578,196.0
864691134887444986,864691135464162366,444.0
864691134887444986,864691135466236229,1068.0
864691134887444986,864691135469753426,3468.0
864691134887444986,864691135490483514,1520.0
864691134887444986,864691135517376211,30252.0
864691134887444986,864691135546339880,1644.0
864691134887444986,864691135562975969,1140.0
864691134887444986,864691135571192966,1408.0
864691134887444986,864691135584625773,3488.0
864691134887444986,864691135662774512,1264.0
864691134887444986,864691135689555680,180.0
864691134887444986,864691135695146943,1536.0
864691134887444986,864691135731679929,404.0
864691134887444986,864691135750958889,3624.0
864691134887444986,864691135763975990,3120.0
864691134887444986,864691135843242211,3800.0
864691134887444986,864691135892048777,388.0
864691134887444986,864691136026013497,45232.0
864691134887444986,864691136034464443,1632.0
864691134887444986,864691136042515798,2428.0
864691134887444986,864691136102330485,3976.0
864691134887444986,864691136111251896,968.0
864691134887444986,864691136118878116,1428.0
864691134887444986,864691136196979020,464.0
864691134887444986,864691136228250961,920.0
864691134887444986,864691136336204979,1980.0
864691134887444986,864691136391042167,468.0
864691134887444986,864691136438496158,380.0
864691134887444986,864691136453384959,2964.0
864691134887444986,864691136904656818,604.0
864691134887444986,864691136968542926,2664.0
864691134887460346,864691135911276969,13712.0
864691134887460346,864691136968773070,2312.0
864691134887552506,864691134887552506,26492.0
864691134887552506,864691135060772763,1168.0
864691134887552506,864691135294442678,10528.0
864691134887552506,864691135409760457,19672.0
864691134887552506,864691135409856713,6692.0
864691134887552506,864691135448017554,3300.0
864691134887552506,864691135478434216,4944.0
864691134887552506,864691135573296677,23416.0
864691134887552506,864691135969582181,8088.0
864691134887552506,864691135988557315,640.0
864691134887552506,864691135990793216,11656.0
864691134887552506,864691136298913563,25440.0
864691134887552506,864691136314120765,11640.0
864691134918921738,864691134966621471,8768.0
864691134918921738,864691135015605910,14964.0
864691134918921738,864691135196475434,10112.0
864691134918921738,864691135274830353,3528.0
864691134918921738,864691135279848865,26584.0
864691134918921738,864691135389004929,12932.0
864691134918921738,864691135398746401,12608.0
864691134918921738,864691135456207722,2056.0
864691134918921738,864691135456535658,21416.0
864691134918921738,864691135490483514,23368.0
864691134918921738,864691135586724220,20472.0
864691134918921738,864691135756844242,7124.0
864691134918921738,864691135779780797,13784.0
864691134918921738,864691135810495005,2696.0
864691134918921738,864691135858282030,10788.0
864691134918921738,864691135869457430,21004.0
864691134918921738,864691135988557315,4164.0
864691134918921738,864691136011733934,196.0
864691134918921738,864691136034464443,2388.0
864691134918921738,864691136086206316,6496.0
864691134918921738,864691136118370724,15516.0
864691134918921738,864691136118878116,4424.0
864691134918921738,864691136195796182,1660.0
864691134918921738,864691136312057178,3408.0
864691134918921738,864691136391042167,10120.0
864691134918921738,864691136453384959,2812.0
864691134918921738,864691136619828877,7856.0
864691134919403530,864691134919529994,12512.0
864691134919403530,864691135124690471,5136.0
864691134919403530,864691135134016928,7548.0
864691134919403530,864691135196475434,6400.0
864691134919403530,864691135274830353,24332.0
864691134919403530,864691135375361480,11488.0
864691134919403530,864691135389004929,4004.0
864691134919403530,864691135456535658,18704.0
864691134919403530,864691135562001633,19772.0
864691134919403530,864691135689555680,2408.0
864691134919403530,864691135763975990,10412.0
864691134919403530,864691135764890678,4968.0
864691134919403530,864691135808925981,2240.0
864691134919403530,864691135810495005,8428.0
864691134919403530,864691135858282030,25172.0
864691134919403530,864691136118878116,8264.0
864691134919403530,864691136195796182,12664.0
864691134919403530,864691136228250961,8588.0
864691134919403530,864691136229366097,3728.0
864691134919403530,864691136523889553,20076.0
864691134919529994,864691134919529994,17848.0
864691134919529994,864691135214643256,2432.0
864691134919529994,864691135325426076,4664.0
864691134919529994,864691135566979927,4316.0
864691134919529994,864691135764890678,2620.0
864691134919869706,864691135340055782,2876.0
864691134919869706,864691135360346200,13376.0
864691134919869706,864691135456535658,6768.0
864691134919869706,864691135464162366,3800.0
864691134919869706,864691135478434216,3532.0
864691134919869706,864691135562001633,15716.0
864691134919869706,864691135778542509,7188.0
864691134919869706,864691135849640798,5316.0
864691134919869706,864691135948010081,16084.0
864691134919869706,864691136118878116,9796.0
864691134919869706,864691136229366097,3912.0
864691134919869706,864691136312445786,11672.0
864691134919869706,864691136390828919,5744.0
864691134919927050,864691135106189901,808.0
864691134919927050,864691135417827770,1228.0
864691134919927050,864691135565770007,16100.0
864691134919927050,864691135809375005,9848.0
864691134919927050,864691136452920319,1736.0
864691134919927050,864691136674327431,3240.0
864691134919972106,864691135060772763,9484.0
